woulda sampha uh sunday finish got noth big emphasi kid
hous day care buy mani monster securr next peopl power
thought ta dunno feelin good ca kany shit could anymor
neck ike mirag turn get girl open mean get tip
let wrestler bitch babi mani gon get took oh bitch
west everi kingdom pussi born sorri wait repost word bitch
right swerv leather right livin long made gon nightlight let
la broke instrument day bitch gon learn moment bound oh
sensit realli tapeworm yeezi us jewelri night bitch kany nicki
tell wait spillin say girl ca harder ho would medulla
look woke ape church beatz help bread kid life jerk
home turn lost nameless treat never oh wife harder even
hallelujah know pleas deserv us top kany said sourc greatest
talk reput gon oh employe motherfuck freedom young week oh
girl first clickin thick leader choru back west think though
livin nigga malpractic seren suicid na blow still show war
plottin lion cloth west talk passeng teddi violent monster gnashin
ever stand swerv everyth garag one sky daddi checkin told
believ thou swung hi wave deal huh mario let got
make longer feel could wah whether god babi got bugatti
magic
